,titles,votes,ratings
0,The Shawshank Redemption,3200000.0,9.3
1,The Godfather,2200000.0,9.2
2,The Dark Knight,3100000.0,9.1
3,The Godfather: Part II,1500000.0,9.0
4,12 Angry Men,974000.0,9.0
5,The Lord of the Rings: The Return of the King,2100000.0,9.0
6,Schindler's List,1600000.0,9.0
7,The Lord of the Rings: The Fellowship of the Ring,2200000.0,8.9
8,Pulp Fiction,2400000.0,8.8
9,"The Good, the Bad and the Ugly",885000.0,8.8
10,The Lord of the Rings: The Two Towers,1900000.0,8.8
11,Forrest Gump,2500000.0,8.8
12,Fight Club,2600000.0,8.8
13,Inception,2800000.0,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1500000.0,8.7
15,The Matrix,2200000.0,8.7
16,GoodFellas,1400000.0,8.7
17,Interstellar,2500000.0,8.7
18,One Flew Over the Cuckoo's Nest,1200000.0,8.6
19,Se7en,2000000.0,8.6
20,It's a Wonderful Life,552000.0,8.6
21,The Silence of the Lambs,1700000.0,8.6
22,Shichinin no samurai,399000.0,8.6
23,Saving Private Ryan,1600000.0,8.6
24,The Green Mile,1500000.0,8.6
